,Algorithm_Ref,Class,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
1,Ensemble,G1,1,0.91304347826087,0.733333333333333,1,0.733333333333333,1,0.846153846153846,0.192982456140351,0.192982456140351,0.263157894736842,0.956521739130435
2,Ensemble,G2,0.736842105263158,0.973684210526316,0.933333333333333,0.880952380952381,0.933333333333333,0.736842105263158,0.823529411764706,0.333333333333333,0.245614035087719,0.263157894736842,0.855263157894737
3,Ensemble,G3,0.962962962962963,0.966666666666667,0.962962962962963,0.966666666666667,0.962962962962963,0.962962962962963,0.962962962962963,0.473684210526316,0.456140350877193,0.473684210526316,0.964814814814815
4,Baron,G1,1,0.934782608695652,0.785714285714286,1,0.785714285714286,1,0.88,0.192982456140351,0.192982456140351,0.245614035087719,0.967391304347826
5,Baron,G2,0.789473684210526,0.921052631578947,0.833333333333333,0.897435897435897,0.833333333333333,0.789473684210526,0.810810810810811,0.333333333333333,0.263157894736842,0.315789473684211,0.855263157894737
6,Baron,G3,0.888888888888889,0.966666666666667,0.96,0.90625,0.96,0.888888888888889,0.923076923076923,0.473684210526316,0.421052631578947,0.43859649122807,0.927777777777778
7,Segerstolpe,G1,1,0.869565217391304,0.647058823529412,1,0.647058823529412,1,0.785714285714286,0.192982456140351,0.192982456140351,0.298245614035088,0.934782608695652
8,Segerstolpe,G2,0.631578947368421,0.947368421052632,0.857142857142857,0.837209302325581,0.857142857142857,0.631578947368421,0.727272727272727,0.333333333333333,0.210526315789474,0.245614035087719,0.789473684210526
9,Segerstolpe,G3,0.851851851851852,0.9,0.884615384615385,0.870967741935484,0.884615384615385,0.851851851851852,0.867924528301887,0.473684210526316,0.403508771929825,0.456140350877193,0.875925925925926
10,Lawlor,G1,1,0.891304347826087,0.6875,1,0.6875,1,0.814814814814815,0.192982456140351,0.192982456140351,0.280701754385965,0.945652173913043
11,Lawlor,G2,0.684210526315789,0.921052631578947,0.8125,0.853658536585366,0.8125,0.684210526315789,0.742857142857143,0.333333333333333,0.228070175438596,0.280701754385965,0.802631578947368
12,Lawlor,G3,0.814814814814815,0.9,0.88,0.84375,0.88,0.814814814814815,0.846153846153846,0.473684210526316,0.385964912280702,0.43859649122807,0.857407407407407
