,Algorithm_Ref,Class,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
1,Ensemble,G1,1,1,1,1,1,1,1,0.192982456140351,0.192982456140351,0.192982456140351,1
2,Ensemble,G2,0.894736842105263,0.894736842105263,0.80952380952381,0.944444444444444,0.80952380952381,0.894736842105263,0.85,0.333333333333333,0.298245614035088,0.368421052631579,0.894736842105263
3,Ensemble,G3,0.851851851851852,0.933333333333333,0.92,0.875,0.92,0.851851851851852,0.884615384615385,0.473684210526316,0.403508771929825,0.43859649122807,0.892592592592593
4,Baron,G1,1,0.847826086956522,0.611111111111111,1,0.611111111111111,1,0.758620689655172,0.192982456140351,0.192982456140351,0.315789473684211,0.923913043478261
5,Baron,G2,0.631578947368421,0.815789473684211,0.631578947368421,0.815789473684211,0.631578947368421,0.631578947368421,0.631578947368421,0.333333333333333,0.210526315789474,0.333333333333333,0.723684210526316
6,Baron,G3,0.666666666666667,0.933333333333333,0.9,0.756756756756757,0.9,0.666666666666667,0.765957446808511,0.473684210526316,0.315789473684211,0.350877192982456,0.8
7,Segerstolpe,G1,1,0.826086956521739,0.578947368421053,1,0.578947368421053,1,0.733333333333333,0.192982456140351,0.192982456140351,0.333333333333333,0.91304347826087
8,Segerstolpe,G2,0.684210526315789,0.947368421052632,0.866666666666666,0.857142857142857,0.866666666666667,0.684210526315789,0.764705882352941,0.333333333333333,0.228070175438596,0.263157894736842,0.815789473684211
9,Segerstolpe,G3,0.814814814814815,0.966666666666667,0.956521739130435,0.852941176470588,0.956521739130435,0.814814814814815,0.88,0.473684210526316,0.385964912280702,0.403508771929825,0.890740740740741
10,Lawlor,G1,1,0.956521739130435,0.846153846153846,1,0.846153846153846,1,0.916666666666667,0.192982456140351,0.192982456140351,0.228070175438596,0.978260869565217
11,Lawlor,G2,0.736842105263158,0.947368421052632,0.875,0.878048780487805,0.875,0.736842105263158,0.8,0.333333333333333,0.245614035087719,0.280701754385965,0.842105263157895
12,Lawlor,G3,0.925925925925926,0.9,0.892857142857143,0.931034482758621,0.892857142857143,0.925925925925926,0.909090909090909,0.473684210526316,0.43859649122807,0.491228070175439,0.912962962962963
