,Bechmark_Data,Algorithm_Ref,alpha,alpha_pvalue,beta,beta_pvalue,delta,delta_pvalue,gamma,gamma_pvalue
1,Alvarez,Ensemble,-0.0293438456606757,0.766352301346762,-0.112960597395934,0.251248410459361,-0.0611951892899884,0.535165983470089,0.0577415015070803,0.55849380987121
2,Alvarez,Baron,-0.111460053720918,0.257640655742245,-0.0972342565974434,0.323756194197859,-0.109047186430818,0.268150734176846,0.133023848018784,0.176121952245798
3,Alvarez,Segerstolpe,-0.289889418884025,0.00270322372851687,0.297347422974402,0.00206708052233057,-0.0877971388327623,0.373141054317951,-0.179455017846936,0.0669879384407104
4,Alvarez,Lawlor,-0.251218597986251,0.00973773161222248,0.259503797340816,0.00751198901904677,-0.0360188077262975,0.715273203103607,-0.0917976643148533,0.351670179796856
5,Fadista,Ensemble,0.256743071574031,0.0151518412428412,-0.230103689023082,0.0300595098356283,-0.0335729577100066,0.754784203088054,-0.0651170552226353,0.544333630244841
6,Fadista,Baron,0.225655633557651,0.0334830046452933,-0.205375217843074,0.0535138178071144,-0.0542467537536966,0.61362885693006,-0.0618198474396576,0.564943980283998
7,Fadista,Segerstolpe,0.188196020418186,0.0773695136540789,-0.155222575514812,0.146366715691887,-0.0538668407873103,0.616118409710916,-0.0640245367518979,0.551121944071969
8,Fadista,Lawlor,0.353557554645871,0.000676876206761755,-0.288921780625856,0.0060331623090871,-0.0610034445205159,0.570103550136924,-0.115395991564527,0.281544544287043
9,Missiaglia,Ensemble,0.191606184632375,0.0996023519833185,-0.340813211701294,0.00277079404664852,0.434291423397716,9.90324797041986e-05,-0.0767277121296175,0.512927286094108
10,Missiaglia,Baron,-0.0684160271598229,0.55973671643342,-0.123876681081518,0.289659127649522,-0.0822574799247996,0.482931116392367,0.0700063111361938,0.55062591023904
11,Missiaglia,Segerstolpe,0.0082977691649322,0.943672323202119,-0.163638825720368,0.160668328258925,0.0124138811362076,0.915815839435252,-0.0223178771336688,0.84926537985784
12,Missiaglia,Lawlor,-0.12956464983373,0.267907489079357,0.124422693091446,0.287521979444609,-0.147949808630802,0.205245768362767,0.0861668923128425,0.462301539935052
13,RepSet,Ensemble,-0.110352773205076,0.413821395542348,-0.05390964139138,0.690422625244966,0.184076780031295,0.170466856606893,0.0378922608682752,0.779598116811567
14,RepSet,Baron,-0.134122560571857,0.319895528186118,-0.209829292546608,0.11721390767947,-0.0142603027182813,0.916151252857857,0.136092610346142,0.312773544490809
15,RepSet,Segerstolpe,-0.0607069348696379,0.653729339094856,0.321323626468454,0.014801136976367,0.0679286465895216,0.615619255878634,-0.435090823158772,0.000718874004791329
16,RepSet,Lawlor,-0.315027060935923,0.0169942844761916,-0.030390040113075,0.822439528146723,0.240413916086245,0.0716406821680141,-0.12523218093257,0.353305613639256
17,Riemer,Ensemble,-0.373233233991206,0.017686710751874,0.379223327692553,0.0158098810700498,-0.167539544591821,0.301445096988191,-0.123978333655369,0.445945730023693
18,Riemer,Baron,-0.0419362451479902,0.797232281251205,0.278900662377804,0.0813761691528865,-0.153710937558893,0.343653913684079,-0.0568990248952549,0.727290087229541
19,Riemer,Segerstolpe,-0.405958610081678,0.00934743469169538,0.417085645696067,0.00741790711958439,-0.124034005290171,0.445739921040119,-0.147844157730212,0.362603565825101
20,Riemer,Lawlor,-0.330312844642752,0.0373729858986353,0.380280559570462,0.0154967364604932,0.201503594574807,0.212454128754561,-0.304627977091716,0.0559730765923179
21,Sadanandam,Ensemble,-0.105154256572161,0.587217182603536,0.464491015410299,0.0111334355351595,-0.136446055149669,0.480328163242859,-0.348743166541313,0.0637213088879665
22,Sadanandam,Baron,0.154722607493861,0.422900418968771,0.108737867325411,0.574468362215313,0.090198014668176,0.64170543672908,-0.154356738289075,0.424011392274712
23,Sadanandam,Segerstolpe,-0.438492108049861,0.0173407386226599,-0.300504125385659,0.113207139713279,-0.0736935983886803,0.704009999957472,-0.202577276696472,0.291927719167553
24,Sadanandam,Lawlor,-0.078465665494295,0.685780024251129,0.0423313066079078,0.827404841956516,0.153421819689278,0.426857602275572,-0.19135881296772,0.320028801960064
25,Scarpa,Ensemble,-0.167471982827088,0.38520280252823,0.417085757491194,0.0243868506430093,0.237946779519681,0.213880930051631,-0.358244792472364,0.0563614850161971
26,Scarpa,Baron,-0.142095089079765,0.462163100060216,0.0322868206037788,0.867948533603719,0.262266231680535,0.169311167280365,0.127332741233253,0.510388471572514
27,Scarpa,Segerstolpe,-0.182520281806178,0.343302669775477,0.429277653971775,0.0201333740418872,0.26665894521797,0.16202119729305,-0.356266810670224,0.0578357552810312
28,Scarpa,Lawlor,-0.144640247663054,0.454098747067039,0.294138019095315,0.121430612751845,0.306288025922081,0.10610116428315,-0.26263686768732,0.168687266966904
