,Bechmark_Data,Algorithm_Ref,alpha,alpha_pvalue,beta,beta_pvalue,delta,delta_pvalue,gamma,gamma_pvalue,acinar,acinar_pvalue,ductal,ductal_pvalue
1,Alvarez,Ensemble,-0.276629747587116,0.0042814077923571,0.024535981771364,0.803788735429081,-0.037847295810795,0.701486677789128,-0.0365724018724128,0.71108927588048,0.0577951620553271,0.558127670293556,0.387918915108869,4.33783986848404e-05
2,Alvarez,Baron,-0.218548953069894,0.0251037543398883,-0.105773890087933,0.28286686162375,-0.0920730291098645,0.350221225795933,-0.134871140319922,0.170140972519479,0.0283963128694746,0.773690845114431,0.442137867503715,2.33485444024165e-06
3,Alvarez,Segerstolpe,-0.264408658111223,0.00641775032000742,0.00381347211569447,0.969202260060223,-0.0798891691890892,0.417872894745011,-0.146500298009647,0.13589061058038,0.0803505475551629,0.415180597722463,0.384757506702408,5.06620554425677e-05
4,Alvarez,Lawlor,-0.259528963603051,0.00750597801898828,-0.256813302002575,0.00817967079861404,0.0423271892905168,0.668123393203806,-0.234594893223278,0.0160040023027593,0.104134318134399,0.290437065622718,0.350154795855186,0.000250545261475607
5,Fadista,Ensemble,0.122473990816944,0.252874949858048,0.0523635958610326,0.626011509708673,-0.102356862766868,0.339834688735829,-0.103034446099538,0.336630483514425,-0.179160552968036,0.0929717782118514,0.0460469151826806,0.668292855985781
6,Fadista,Baron,0.109027101159998,0.309127265095379,0.0746133712237075,0.487105468187745,-0.0649763355936643,0.545205688777861,-0.0821171561444455,0.444251556155697,-0.172945821024424,0.105073205062015,0.0489811046453584,0.648513476160345
7,Fadista,Segerstolpe,0.118648281604143,0.26811267864454,-0.133665633298081,0.211743635536696,-0.0655591823422078,0.541598149842471,-0.0779448234431279,0.467813889061622,-0.00847975116340798,0.937137359638454,0.0860446051170067,0.422693880227796
8,Fadista,Lawlor,0.310585234162379,0.00305387318313554,-0.148273205513703,0.165530035741001,-0.060919888492664,0.570632857119565,0.121860011235252,0.255279618026869,-0.150564490120109,0.159016960096157,-0.0250003550018987,0.816106924606472
9,Missiaglia,Ensemble,0.218816477696447,0.0592809139846263,-0.50386461943461,4.0584897086341e-06,0.226548799113933,0.0506409044965222,0.0571517947510132,0.626234007547613,0.191195426247482,0.100344154683426,0.515515946160769,2.21278502446417e-06
10,Missiaglia,Baron,0.0547550521118446,0.640801519077438,-0.119386090252719,0.307632345290221,-0.0749316793703197,0.522870288654693,0.0661114624649644,0.573065338247705,-0.0737579589989441,0.529420069825786,-0.0661563339294307,0.572804419446877
11,Missiaglia,Segerstolpe,0.24841065919728,0.0316364786604477,-0.36125229568704,0.00145125309736432,0.231262515919303,0.0459008028111458,0.204439739987618,0.0785101455785458,0.152189786778892,0.192413405449825,0.359451509133601,0.00153898357653086
12,Missiaglia,Lawlor,0.0991468815856242,0.39738344607969,0.0207685389292493,0.859619195289548,-0.126090695456331,0.281057917355398,0.061096350395428,0.60256889484843,0.177449227476739,0.127743895222266,0.17993549639789,0.122406276514111
13,RepSet,Ensemble,-0.038739119471132,0.774800237525207,-0.497466597710146,8.25327348996885e-05,0.0828647829899946,0.540001646234673,-0.51870358323871,3.57262404286574e-05,0.175648221375851,0.191238898420589,0.635456121784087,1.09462849698e-07
14,RepSet,Baron,0.0297716491345514,0.825995773413633,0.247587373229939,0.0633315304785187,0.0120084772665381,0.929354834985445,-0.521466764095098,3.19060333852798e-05,0.00771246397489925,0.954594082870241,0.542012643554705,1.33326566583437e-05
15,RepSet,Segerstolpe,0.00189035863615088,0.988865314720291,-0.509523136716128,5.16588053097794e-05,-0.00589811109779808,0.965268226681559,-0.26495315038206,0.0463942496079199,0.122548804997465,0.363796468593503,0.518919785100287,3.54127591980149e-05
16,RepSet,Lawlor,-0.175902471912203,0.190586950280767,-0.214134804683338,0.109714029257593,-0.175255907296703,0.192247996730914,-0.415586459819712,0.00130512078493263,0.213257401161486,0.111211671753245,0.565178272149301,4.64175638018145e-06
17,Riemer,Ensemble,-0.430906138830007,0.00550676052150858,0.146439892437736,0.367230721564255,-0.163302513831562,0.314009482791633,-0.150522351858919,0.353876431027268,0.208870121915192,0.195858041318689,0.414860486451953,0.00777365438396516
18,Riemer,Baron,-0.418778334766696,0.00715675679630144,0.523455433351987,0.00052821725228481,-0.147814591921606,0.362700624610552,-0.371481077121096,0.0182698785767475,0.176959850633527,0.274678512861239,0.432198022307712,0.00535217514774431
19,Riemer,Segerstolpe,-0.409893982599838,0.00862093848356084,0.113718277068541,0.484750317929572,-0.140583980774083,0.386904116569405,-0.107744256224213,0.50812708665597,0.270906336337234,0.090872441797956,0.22613309108166,0.160589738261838
20,Riemer,Lawlor,-0.294833095069942,0.064768750767989,-0.119496723448275,0.462682935068247,-0.0743252334066664,0.648534259946171,-0.264466801698935,0.0991259146146013,0.300649712502284,0.0594226722873169,0.203715914491607,0.207370826125135
21,Sadanandam,Ensemble,-0.0444917617944524,0.818737129004314,0.638195793812662,0.000195399106678503,0.0297870024830641,0.878094077803894,-0.230572841285782,0.228840193424774,0.0377767730925303,0.845741496286382,-0.331432541017133,0.0790309286277727
22,Sadanandam,Baron,0.0493244856413652,0.799425217422513,0.115283236028708,0.551507893035245,-0.0330677661703706,0.864783179959207,0.0956662120691198,0.621552092540974,-0.0330677661703706,0.864783179959207,-0.120260915761269,0.534336854054091
23,Sadanandam,Segerstolpe,0.0180476179741484,0.925965804014719,0.341149084543981,0.0701247454807614,0.0323910543603588,0.867525933422764,0.011483162101293,0.952856204882512,0.226621445460464,0.237138480431702,-0.354988232529598,0.0588046974741078
24,Sadanandam,Lawlor,-0.0325930473709338,0.866707084705337,0.0873939018961043,0.652138717146199,0.00848054069506159,0.965174686977341,0.0526256165823607,0.786299133580069,0.272428323935879,0.152789797404741,-0.20448948822276,0.287299019304713
25,Scarpa,Ensemble,-0.25372728972065,0.184139586120112,-0.0489869500190715,0.800770421173024,0.291900478748489,0.124423102088301,-0.288843051418231,0.128599334450999,-0.166022962701339,0.389386830259317,0.749445620798511,2.8893265567504e-06
26,Scarpa,Baron,-0.10389259919591,0.591734774611786,-0.100177202401648,0.605124976047784,0.243373321555187,0.203306822321711,-0.315850163818226,0.0950923829755745,-0.109983375618875,0.570066558089898,0.750580751633598,2.73773818494261e-06
27,Scarpa,Segerstolpe,-0.156115871362046,0.418684479759724,0.078247263446021,0.686610687310784,0.263158088841347,0.167812638403838,-0.348325292179027,0.0640613780442481,-0.123900240007809,0.521945973264785,0.690947398406015,3.33296621902498e-05
28,Scarpa,Lawlor,-0.225830408506015,0.238823507230815,-0.141209329662204,0.464987207023068,0.32680987237902,0.0835611765537637,-0.326739101731414,0.0836320405697471,0.0152499599271107,0.937417973986684,0.643625338233678,0.000165386798319378
